Mes-Ano;cdProduto;Meta
3-2019;1452;R$ 230,59
3-2019;1456;R$ 688,55
3-2019;1468;R$ 2.042,96
3-2019;1470;R$ 55,56
3-2019;1484;R$ 451,18
3-2019;1491;R$ 397,56
3-2019;1497;R$ 2.711,15
3-2019;1518;R$ 1.688,56
3-2019;1521;R$ 2.264,70
3-2019;1527;R$ 2.269,27
3-2019;1530;R$ 1.671,17
3-2019;1556;R$ 42,52
3-2019;1557;R$ 503,08
3-2019;1560;R$ 555,50
3-2019;1561;R$ 2.049,30
3-2019;1596;R$ 827,68
3-2019;1597;R$ 103,83
3-2019;1598;R$ 22,80
3-2019;1599;R$ 27,22
3-2019;1600;R$ 1.560,69
3-2019;1602;R$ 1.156,85
3-2019;1603;R$ 5.615,12
3-2019;1606;R$ 628,08
3-2019;1607;R$ 104,80
3-2019;1608;R$ 276,48
3-2019;1651;R$ 34,52
3-2019;1652;R$ 230,31
3-2019;1653;R$ 2.861,22
3-2019;1658;R$ 4.231,60
3-2019;1659;R$ 2.375,82
3-2019;1667;R$ 86,79
3-2019;1701;R$ 2.612,68
3-2019;1706;R$ 744,16
3-2019;1707;R$ 502,99
3-2019;1721;R$ 283,20
3-2019;1722;R$ 717,76
3-2019;1723;R$ 366,87
3-2019;1737;R$ 115,07
3-2019;1759;R$ 2.582,94
3-2019;1760;R$ 983,78
3-2019;1763;R$ 547,55
3-2019;1765;R$ 218,54
3-2019;1766;R$ 1.679,71
3-2019;1767;R$ 1.046,11
3-2019;1769;R$ 679,39
3-2019;1782;R$ 265,89
3-2019;1783;R$ 1.135,23
3-2019;1790;R$ 66,68
3-2019;1791;R$ 132,12
3-2019;1792;R$ 1.131,42
3-2019;1795;R$ 411,87
3-2019;1800;R$ 504,71
3-2019;1810;R$ 139,44
3-2019;1815;R$ 308,28
3-2019;1824;R$ 271,57
3-2019;1829;R$ 3.906,97
3-2019;1830;R$ 1.172,05
3-2019;1831;R$ 1.907,99
3-2019;1838;R$ 166,71
3-2019;1839;R$ 4.994,30
3-2019;1840;R$ 487,09
3-2019;1841;R$ 952,48
3-2019;1842;R$ 4.896,28
3-2019;1845;R$ 33,26
3-2019;1847;R$ 725,09
3-2019;1849;R$ 82,04
3-2019;1855;R$ 44,68
3-2019;1862;R$ 1.006,96
3-2019;1863;R$ 261,53
3-2019;1864;R$ 118,61
3-2019;1869;R$ 132,95
3-2019;1873;R$ 58,18
3-2019;1925;R$ 2.162,59
3-2019;1937;R$ 336,92
3-2019;1938;R$ 226,72
3-2019;1939;R$ 3.180,92
3-2019;1942;R$ 1.482,79
3-2019;1943;R$ 1.444,88
3-2019;1948;R$ 1.015,23
3-2019;1951;R$ 482,88
3-2019;1963;R$ 4.657,51
3-2019;1965;R$ 1.931,46
3-2019;1966;R$ 4.841,78
3-2019;1967;R$ 1.073,89
3-2019;1968;R$ 48.761,27
3-2019;1972;R$ 2.419,74
3-2019;1978;R$ 389,40
3-2019;1979;R$ 501,23
3-2019;1981;R$ 13,71
3-2019;1982;R$ 42,18
3-2019;1983;R$ 1.323,70
3-2019;1987;R$ 395,70
3-2019;1988;R$ 143,42
3-2019;1989;R$ 76,15
3-2019;1990;R$ 1.207,63
3-2019;1991;R$ 158,27
3-2019;1993;R$ 248,50
3-2019;2004;R$ 79,17
3-2019;2022;R$ 17,31
3-2019;2023;R$ 412,03
3-2019;2024;R$ 2.038,35
3-2019;2025;R$ 1.976,20
3-2019;2026;R$ 29.290,76
3-2019;2052;R$ 238,08
3-2019;2053;R$ 97,11
3-2019;2054;R$ 506,90
3-2019;2055;R$ 53,88
3-2019;2056;R$ 61,92
3-2019;2057;R$ 75,15
3-2019;2058;R$ 166,34
3-2019;2059;R$ 45,95
3-2019;2060;R$ 492,51
3-2019;2061;R$ 447,88
3-2019;2062;R$ 43,49
3-2019;2063;R$ 98,43
3-2019;2064;R$ 47,50
3-2019;2065;R$ 152,45
3-2019;2066;R$ 312,81
3-2019;2067;R$ 146,03
3-2019;2068;R$ 372,49
3-2019;2069;R$ 200,29
3-2019;2070;R$ 120,51
3-2019;2072;R$ 225,37
3-2019;2073;R$ 100,96
3-2019;2076;R$ 38,25
3-2019;2079;R$ 20,05
3-2019;2080;R$ 893,20
3-2019;2096;R$ 700,86
3-2019;2097;R$ 1.651,08
3-2019;2103;R$ 3.106,45
3-2019;2104;R$ 848,60
3-2019;2105;R$ 4.547,72
3-2019;2106;R$ 1.231,71
3-2019;2107;R$ 651,07
3-2019;2108;R$ 513,46
3-2019;2120;R$ 82,92
3-2019;2158;R$ 1.861,49
3-2019;2160;R$ 21,16
3-2019;2161;R$ 1.611,53
3-2019;2164;R$ 19,24
3-2019;2165;R$ 63,78
3-2019;2166;R$ 2.765,98
3-2019;2168;R$ 31,46
3-2019;2172;R$ 41,07
3-2019;2173;R$ 83,53
3-2019;2174;R$ 1.664,33
3-2019;2188;R$ 213,01
3-2019;2193;R$ 21,39
3-2019;2194;R$ 18,83
3-2019;2198;R$ 179,92
3-2019;2200;R$ 165,08
3-2019;2201;R$ 124,16
3-2019;2202;R$ 74,61
3-2019;2203;R$ 16,00
3-2019;2204;R$ 18,88
3-2019;2205;R$ 19,92
3-2019;2212;R$ 220,14
3-2019;2216;R$ 85,64
3-2019;2218;R$ 227,72
3-2019;2219;R$ 15,61
3-2019;2222;R$ 36,46
3-2019;2223;R$ 572,49
3-2019;2224;R$ 182,34
3-2019;2225;R$ 122,90
3-2019;2226;R$ 230,89
3-2019;2227;R$ 144,30
3-2019;2228;R$ 108,68
3-2019;2232;R$ 1.708,93
3-2019;2233;R$ 9.922,67
3-2019;2234;R$ 567,59
3-2019;2236;R$ 308,45
3-2019;2238;R$ 478,92
3-2019;2239;R$ 1.106,43
3-2019;2247;R$ 162,23
3-2019;2255;R$ 2.333,69
3-2019;2256;R$ 60,96
3-2019;2257;R$ 582,00
3-2019;2258;R$ 304,59
3-2019;2262;R$ 431,91
3-2019;2264;R$ 181,22
3-2019;2268;R$ 1.345,66
3-2019;2269;R$ 1.501,58
3-2019;2270;R$ 1.101,84
3-2019;2271;R$ 6.372,12
3-2019;2272;R$ 4.356,97
3-2019;2273;R$ 8.614,27
3-2019;2274;R$ 7.389,24
3-2019;2277;R$ 121,33
3-2019;2279;R$ 1.590,42
3-2019;2280;R$ 3.404,23
3-2019;2282;R$ 4.344,91
3-2019;2284;R$ 185,21
3-2019;2285;R$ 55,09
3-2019;2294;R$ 207,97
3-2019;2296;R$ 36,16
3-2019;2297;R$ 95,98
3-2019;2298;R$ 159,70
3-2019;2299;R$ 85,71
3-2019;2300;R$ 33,54
3-2019;2301;R$ 9,48
3-2019;2305;R$ 12,14
3-2019;2306;R$ 15,74
3-2019;2307;R$ 48,78
3-2019;2308;R$ 20,54
3-2019;2309;R$ 42,40
3-2019;2314;R$ 146,98
3-2019;2315;R$ 1.462,16
3-2019;2316;R$ 164,30
3-2019;2317;R$ 382,64
3-2019;2318;R$ 136,16
3-2019;2319;R$ 1.931,45
3-2019;2323;R$ 3.761,99
3-2019;2389;R$ 46,60
3-2019;2390;R$ 249,26
3-2019;2392;R$ 6.915,49
3-2019;2393;R$ 1.852,63
3-2019;2394;R$ 889,97
3-2019;2396;R$ 344,06
3-2019;2402;R$ 51,32
3-2019;2407;R$ 30,20
3-2019;2409;R$ 129,42
3-2019;2410;R$ 240,73
3-2019;2412;R$ 429,41
3-2019;2422;R$ 635,85
3-2019;2423;R$ 1.100,27
3-2019;2428;R$ 181,56
3-2019;2429;R$ 18,37
3-2019;2431;R$ 157,62
3-2019;2432;R$ 911,82
3-2019;2433;R$ 1.686,65
3-2019;2434;R$ 196,28
3-2019;2435;R$ 3.290,07
3-2019;2436;R$ 1.436,02
3-2019;2437;R$ 1.778,19
3-2019;2439;R$ 556,89
3-2019;2443;R$ 315,72
3-2019;2444;R$ 449,13
3-2019;2445;R$ 17.932,90
3-2019;2446;R$ 1.485,72
3-2019;2450;R$ 126,54
3-2019;2452;R$ 1.332,05
3-2019;2460;R$ 2.734,55
3-2019;2461;R$ 828,42
3-2019;2467;R$ 614,31
3-2019;2472;R$ 3.097,52
3-2019;2473;R$ 139,71
3-2019;2474;R$ 39,79
3-2019;2476;R$ 145,94
3-2019;2484;R$ 66,23
3-2019;2485;R$ 385,16
3-2019;2489;R$ 51,69
3-2019;2491;R$ 49,12
3-2019;2494;R$ 360,86
3-2019;2496;R$ 597,93
3-2019;2502;R$ 20,99
3-2019;2505;R$ 18,03
3-2019;2511;R$ 3.836,36
3-2019;2513;R$ 148,76
3-2019;2514;R$ 815,93
3-2019;2516;R$ 176,46
3-2019;2517;R$ 3.090,60
3-2019;2519;R$ 405,52
3-2019;2524;R$ 4.735,56
3-2019;2526;R$ 918,21
3-2019;2527;R$ 15,39
3-2019;2530;R$ 2.880,65
3-2019;2533;R$ 1.026,14
3-2019;2535;R$ 650,37
3-2019;2536;R$ 812,52
3-2019;2538;R$ 1.196,22
3-2019;2545;R$ 172,06
3-2019;2549;R$ 3.812,79
3-2019;2551;R$ 3.742,74
3-2019;2563;R$ 4.892,53
3-2019;2570;R$ 1.475,75
3-2019;2573;R$ 671,69
3-2019;2574;R$ 60,86
3-2019;2575;R$ 832,68
3-2019;2577;R$ 190,27
3-2019;2583;R$ 342,19
3-2019;2592;R$ 613,12
3-2019;2608;R$ 1.124,19
4-2019;111;R$ 3.475,62
4-2019;114;R$ 2.152,56
4-2019;118;R$ 1.369,59
4-2019;120;R$ 546,01
4-2019;142;R$ 539,25
4-2019;143;R$ 228,66
4-2019;144;R$ 99,70
4-2019;146;R$ 8.087,26
4-2019;157;R$ 5.278,03
4-2019;158;R$ 6.395,54
4-2019;159;R$ 2.690,48
4-2019;168;R$ 368,52
4-2019;175;R$ 1.445,82
4-2019;176;R$ 1.514,02
4-2019;180;R$ 2.019,76
4-2019;183;R$ 718,01
4-2019;187;R$ 971,01
4-2019;191;R$ 412,58
4-2019;202;R$ 892,92
4-2019;203;R$ 281,51
4-2019;210;R$ 1.066,99
4-2019;231;R$ 990,34
4-2019;235;R$ 4.440,27
4-2019;238;R$ 1.833,47
4-2019;252;R$ 145,32
4-2019;256;R$ 474,32
4-2019;257;R$ 4.066,24
4-2019;258;R$ 300,42
4-2019;260;R$ 1.457,00
4-2019;264;R$ 1.109,37
4-2019;265;R$ 374,46
4-2019;271;R$ 631,31
4-2019;272;R$ 200,95
4-2019;276;R$ 634,91
4-2019;278;R$ 3.677,96
4-2019;279;R$ 2.004,06
4-2019;280;R$ 402,49
4-2019;282;R$ 507,11
4-2019;283;R$ 2.442,42
4-2019;290;R$ 6.578,59
4-2019;291;R$ 3.735,42
4-2019;292;R$ 1.357,45
4-2019;304;R$ 973,01
4-2019;305;R$ 3.170,04
4-2019;318;R$ 4.448,51
4-2019;320;R$ 3.528,24
4-2019;321;R$ 5.466,73
4-2019;333;R$ 121,71
4-2019;334;R$ 999,21
4-2019;370;R$ 3.127,86
4-2019;378;R$ 1.142,24
4-2019;379;R$ 2.650,64
4-2019;384;R$ 124,93
4-2019;386;R$ 444,52
4-2019;392;R$ 22,87
4-2019;438;R$ 2.398,62
4-2019;439;R$ 4.270,61
4-2019;440;R$ 3.646,09
4-2019;442;R$ 2.405,19
4-2019;462;R$ 572,74
4-2019;467;R$ 359,13
4-2019;468;R$ 444,44
4-2019;469;R$ 357,58
4-2019;473;R$ 15,03
4-2019;476;R$ 443,91
4-2019;481;R$ 412,83
4-2019;483;R$ 441,84
4-2019;487;R$ 277,43
4-2019;492;R$ 694,96
4-2019;513;R$ 8.533,02
4-2019;514;R$ 518,11
4-2019;527;R$ 5.262,91
4-2019;548;R$ 5.958,97
4-2019;581;R$ 1.886,28
4-2019;660;R$ 563,54
4-2019;661;R$ 2.024,80
4-2019;662;R$ 8.286,34
4-2019;665;R$ 972,95
4-2019;668;R$ 3.762,75
4-2019;691;R$ 2.256,08
4-2019;692;R$ 1.298,11
4-2019;693;R$ 4.906,08
4-2019;694;R$ 656,42
4-2019;695;R$ 417,78
4-2019;696;R$ 97,09
4-2019;702;R$ 1.620,68
4-2019;703;R$ 995,18
4-2019;741;R$ 1.442,42
4-2019;771;R$ 1.718,32
4-2019;775;R$ 130,94
4-2019;824;R$ 326,38
4-2019;825;R$ 285,12
4-2019;829;R$ 308,46
4-2019;830;R$ 189,43
4-2019;835;R$ 911,88
4-2019;838;R$ 4.608,69
4-2019;839;R$ 3.289,57
4-2019;876;R$ 4.588,14
4-2019;877;R$ 701,07
4-2019;878;R$ 2.381,13
4-2019;886;R$ 2.170,00
4-2019;935;R$ 931,97
4-2019;965;R$ 992,00
4-2019;1019;R$ 1.238,95
4-2019;1048;R$ 2.213,99
4-2019;1049;R$ 1.609,64
4-2019;1057;R$ 166,75
4-2019;1073;R$ 964,78
4-2019;1074;R$ 155,44
4-2019;1082;R$ 1.424,46
4-2019;1085;R$ 748,95
4-2019;1086;R$ 1.708,21
4-2019;1131;R$ 1.192,83
4-2019;1132;R$ 963,07
4-2019;1133;R$ 3.928,38
4-2019;1135;R$ 7.065,92
4-2019;1139;R$ 25,54
4-2019;1150;R$ 5.064,30
4-2019;1151;R$ 1.665,91
4-2019;1152;R$ 546,90
4-2019;1154;R$ 8.675,95
4-2019;1166;R$ 791,76
4-2019;1179;R$ 289,62
4-2019;1204;R$ 459,12
4-2019;1205;R$ 1.056,77
4-2019;1206;R$ 6.311,45
4-2019;1207;R$ 80,43
4-2019;1212;R$ 68,95
4-2019;1216;R$ 659,10
4-2019;1231;R$ 248,61
4-2019;1232;R$ 520,37
4-2019;1234;R$ 370,85
4-2019;1235;R$ 21,31
4-2019;1259;R$ 127,65
4-2019;1303;R$ 82,83
4-2019;1339;R$ 1.181,68
4-2019;1372;R$ 53,71
4-2019;1374;R$ 409,72
4-2019;1376;R$ 36,87
4-2019;1377;R$ 671,50
4-2019;1378;R$ 117,08
4-2019;1389;R$ 1.354,72
4-2019;1399;R$ 35,41
4-2019;1417;R$ 218,33
4-2019;1420;R$ 4.725,97
4-2019;1421;R$ 2.735,22
4-2019;1456;R$ 198,84
4-2019;1468;R$ 2.129,03
4-2019;1484;R$ 286,15
4-2019;1491;R$ 113,24
4-2019;1497;R$ 1.023,53
4-2019;1518;R$ 5.249,51
4-2019;1521;R$ 679,48
4-2019;1527;R$ 2.313,31
4-2019;1530;R$ 1.355,52
4-2019;1556;R$ 183,03
4-2019;1557;R$ 391,27
4-2019;1560;R$ 1.226,99
4-2019;1561;R$ 1.178,65
4-2019;1596;R$ 3.378,88
4-2019;1597;R$ 23,38
4-2019;1599;R$ 181,74
4-2019;1600;R$ 118,96
4-2019;1602;R$ 3.266,73
4-2019;1603;R$ 2.425,04
4-2019;1606;R$ 1.888,93
4-2019;1607;R$ 234,15
4-2019;1608;R$ 659,39
4-2019;1651;R$ 48,46
4-2019;1652;R$ 147,88
4-2019;1653;R$ 1.245,53
4-2019;1658;R$ 646,32
4-2019;1659;R$ 1.771,96
4-2019;1667;R$ 299,75
4-2019;1701;R$ 3.665,09
4-2019;1706;R$ 1.041,26
4-2019;1707;R$ 506,95
4-2019;1721;R$ 499,93
4-2019;1722;R$ 515,95
4-2019;1723;R$ 500,12
4-2019;1737;R$ 42,74
4-2019;1759;R$ 732,72
4-2019;1760;R$ 183,40
4-2019;1763;R$ 228,10
4-2019;1765;R$ 121,68
4-2019;1766;R$ 1.204,48
4-2019;1767;R$ 1.755,43
4-2019;1769;R$ 347,30
4-2019;1783;R$ 5.893,07
4-2019;1791;R$ 13,38
4-2019;1792;R$ 492,33
4-2019;1795;R$ 133,62
4-2019;1800;R$ 561,98
4-2019;1810;R$ 252,81
4-2019;1815;R$ 573,72
4-2019;1824;R$ 27,26
4-2019;1829;R$ 1.822,73
4-2019;1830;R$ 1.072,16
4-2019;1831;R$ 795,02
4-2019;1838;R$ 32,67
4-2019;1839;R$ 6.017,15
4-2019;1840;R$ 529,62
4-2019;1841;R$ 1.442,04
4-2019;1842;R$ 3.257,54
4-2019;1845;R$ 46,09
4-2019;1847;R$ 80,88
4-2019;1848;R$ 692,75
4-2019;1849;R$ 51,96
4-2019;1854;R$ 74,96
4-2019;1862;R$ 954,83
4-2019;1863;R$ 178,27
4-2019;1864;R$ 175,26
4-2019;1918;R$ 119,58
4-2019;1925;R$ 703,92
4-2019;1937;R$ 203,27
4-2019;1938;R$ 363,73
4-2019;1939;R$ 898,55
4-2019;1942;R$ 929,88
4-2019;1943;R$ 1.289,18
4-2019;1948;R$ 2.639,84
4-2019;1951;R$ 102,98
4-2019;1963;R$ 10.027,18
4-2019;1965;R$ 467,16
4-2019;1966;R$ 3.571,24
4-2019;1967;R$ 3.039,52
4-2019;1968;R$ 30.517,43
4-2019;1972;R$ 1.403,35
4-2019;1978;R$ 88,85
4-2019;1979;R$ 879,53
4-2019;1981;R$ 43,43
4-2019;1982;R$ 24,29
4-2019;1983;R$ 240,14
4-2019;1986;R$ 13,97
4-2019;1987;R$ 1.791,02
4-2019;1988;R$ 187,03
4-2019;1989;R$ 87,96
4-2019;1990;R$ 142,97
4-2019;1991;R$ 37,70
4-2019;1993;R$ 475,91
4-2019;2004;R$ 98,26
4-2019;2023;R$ 302,32
4-2019;2024;R$ 2.856,46
4-2019;2025;R$ 1.185,50
4-2019;2026;R$ 37.529,86
4-2019;2052;R$ 181,87
4-2019;2053;R$ 170,77
4-2019;2054;R$ 441,96
4-2019;2055;R$ 106,76
4-2019;2056;R$ 135,63
4-2019;2057;R$ 61,59
4-2019;2058;R$ 234,14
4-2019;2059;R$ 10,47
4-2019;2060;R$ 13,05
4-2019;2061;R$ 449,67
4-2019;2062;R$ 36,87
4-2019;2063;R$ 282,57
4-2019;2064;R$ 162,18
4-2019;2065;R$ 72,92
4-2019;2066;R$ 107,86
4-2019;2067;R$ 177,91
4-2019;2068;R$ 238,85
4-2019;2069;R$ 144,77
4-2019;2070;R$ 100,70
4-2019;2072;R$ 205,38
4-2019;2073;R$ 20,50
4-2019;2075;R$ 34,52
4-2019;2079;R$ 79,40
4-2019;2080;R$ 591,34
4-2019;2089;R$ 78,47
4-2019;2096;R$ 2.860,91
4-2019;2097;R$ 2.063,05
4-2019;2103;R$ 7.426,34
4-2019;2104;R$ 1.927,60
4-2019;2105;R$ 933,16
4-2019;2106;R$ 2.196,76
4-2019;2107;R$ 2.088,21
4-2019;2108;R$ 62,99
4-2019;2109;R$ 434,16
4-2019;2120;R$ 674,16
4-2019;2151;R$ 405,84
4-2019;2158;R$ 332,63
4-2019;2159;R$ 36,59
4-2019;2161;R$ 473,91
4-2019;2164;R$ 122,11
4-2019;2165;R$ 18,75
4-2019;2166;R$ 1.072,82
4-2019;2168;R$ 39,55
4-2019;2172;R$ 91,60
4-2019;2173;R$ 28,39
4-2019;2174;R$ 868,22
4-2019;2181;R$ 68,47
4-2019;2185;R$ 124,69
4-2019;2188;R$ 329,97
4-2019;2191;R$ 30,99
4-2019;2193;R$ 8,51
4-2019;2197;R$ 77,24
4-2019;2198;R$ 129,67
4-2019;2200;R$ 452,51
4-2019;2201;R$ 669,45
4-2019;2202;R$ 22,03
4-2019;2205;R$ 68,27
4-2019;2212;R$ 220,41
4-2019;2216;R$ 272,69
4-2019;2217;R$ 71,90
4-2019;2218;R$ 124,34
4-2019;2219;R$ 49,73
4-2019;2220;R$ 18,62
4-2019;2221;R$ 72,79
4-2019;2222;R$ 160,83
4-2019;2223;R$ 286,48
4-2019;2224;R$ 206,34
4-2019;2225;R$ 292,72
4-2019;2226;R$ 219,71
4-2019;2227;R$ 276,96
4-2019;2228;R$ 46,68
4-2019;2232;R$ 1.315,22
4-2019;2233;R$ 8.546,19
4-2019;2234;R$ 747,98
4-2019;2238;R$ 216,78
4-2019;2239;R$ 324,07
4-2019;2247;R$ 833,95
4-2019;2255;R$ 1.125,71
4-2019;2256;R$ 89,36
4-2019;2257;R$ 1.004,90
4-2019;2258;R$ 698,86
4-2019;2262;R$ 1.285,51
4-2019;2264;R$ 123,54
4-2019;2268;R$ 1.461,35
4-2019;2269;R$ 2.681,09
4-2019;2270;R$ 6.970,98
4-2019;2271;R$ 6.979,20
4-2019;2272;R$ 8.592,01
4-2019;2273;R$ 6.999,78
4-2019;2274;R$ 4.223,23
4-2019;2277;R$ 64,24
4-2019;2279;R$ 7.382,95
4-2019;2280;R$ 5.826,11
4-2019;2282;R$ 7.853,65
4-2019;2284;R$ 15,78
4-2019;2285;R$ 16,91
4-2019;2294;R$ 41,26
4-2019;2296;R$ 39,79
4-2019;2297;R$ 119,56
4-2019;2298;R$ 62,53
4-2019;2300;R$ 95,36
4-2019;2301;R$ 77,74
4-2019;2303;R$ 32,40
4-2019;2305;R$ 20,66
4-2019;2306;R$ 29,03
4-2019;2307;R$ 51,08
4-2019;2309;R$ 66,36
4-2019;2314;R$ 26,37
4-2019;2315;R$ 849,59
4-2019;2316;R$ 174,61
4-2019;2317;R$ 91,03
4-2019;2318;R$ 412,38
4-2019;2319;R$ 192,69
4-2019;2323;R$ 625,24
4-2019;2343;R$ 57,77
4-2019;2364;R$ 164,85
4-2019;2374;R$ 44,13
4-2019;2385;R$ 21,93
4-2019;2390;R$ 61,33
4-2019;2391;R$ 40,96
4-2019;2392;R$ 14.668,53
4-2019;2393;R$ 918,66
4-2019;2394;R$ 786,35
4-2019;2396;R$ 192,93
4-2019;2400;R$ 16,65
4-2019;2402;R$ 150,18
4-2019;2403;R$ 23,23
4-2019;2404;R$ 51,06
4-2019;2407;R$ 45,99
4-2019;2409;R$ 56,75
4-2019;2410;R$ 17,84
4-2019;2412;R$ 541,43
4-2019;2420;R$ 27,92
4-2019;2422;R$ 575,40
4-2019;2423;R$ 531,62
4-2019;2428;R$ 40,60
4-2019;2432;R$ 477,20
4-2019;2433;R$ 548,36
4-2019;2434;R$ 456,85
4-2019;2435;R$ 1.379,52
4-2019;2436;R$ 502,15
4-2019;2437;R$ 2.299,03
4-2019;2439;R$ 182,48
4-2019;2444;R$ 234,98
4-2019;2445;R$ 13.532,92
4-2019;2446;R$ 296,03
4-2019;2450;R$ 29,58
4-2019;2452;R$ 2.214,09
4-2019;2460;R$ 1.747,17
4-2019;2461;R$ 1.533,06
4-2019;2467;R$ 1.328,17
4-2019;2472;R$ 6.926,79
4-2019;2473;R$ 706,60
4-2019;2474;R$ 327,01
4-2019;2475;R$ 5,22
4-2019;2476;R$ 1.253,83
4-2019;2483;R$ 177,78
4-2019;2484;R$ 145,89
4-2019;2485;R$ 1.388,70
4-2019;2493;R$ 86,63
4-2019;2494;R$ 914,56
4-2019;2496;R$ 3.748,87
4-2019;2502;R$ 78,94
4-2019;2511;R$ 14.293,06
4-2019;2512;R$ 157,76
4-2019;2513;R$ 1.168,11
4-2019;2514;R$ 4.057,42
4-2019;2515;R$ 191,01
4-2019;2517;R$ 334,39
4-2019;2519;R$ 106,38
4-2019;2520;R$ 497,43
4-2019;2522;R$ 30,31
4-2019;2524;R$ 5.752,43
4-2019;2526;R$ 780,43
4-2019;2527;R$ 141,29
4-2019;2530;R$ 938,57
4-2019;2533;R$ 2.300,06
4-2019;2535;R$ 3.403,41
4-2019;2536;R$ 536,70
4-2019;2538;R$ 1.470,75
4-2019;2543;R$ 20,72
4-2019;2549;R$ 2.929,78
4-2019;2551;R$ 1.959,79
4-2019;2558;R$ 27,28
4-2019;2563;R$ 6.284,29
4-2019;2570;R$ 4.757,36
4-2019;2573;R$ 740,39
4-2019;2575;R$ 321,12
4-2019;2583;R$ 6.173,82
4-2019;2592;R$ 1.564,97
4-2019;2603;R$ 125,31
4-2019;2604;R$ 145,58
4-2019;2607;R$ 939,59
4-2019;2608;R$ 11.093,87
5-2019;111;R$ 3.540,74
5-2019;114;R$ 3.976,31
5-2019;118;R$ 3.699,26
5-2019;120;R$ 659,04
5-2019;142;R$ 253,30
5-2019;143;R$ 110,25
5-2019;144;R$ 175,82
5-2019;145;R$ 34,40
5-2019;146;R$ 6.688,34
5-2019;157;R$ 6.119,96
5-2019;158;R$ 7.653,97
5-2019;159;R$ 361,07
5-2019;168;R$ 1.349,88
5-2019;175;R$ 2.118,46
5-2019;176;R$ 2.200,25
5-2019;180;R$ 3.070,13
5-2019;183;R$ 359,84
5-2019;186;R$ 372,50
5-2019;187;R$ 1.261,64
5-2019;191;R$ 1.638,09
5-2019;202;R$ 2.832,28
5-2019;203;R$ 1.455,84
5-2019;210;R$ 4.187,02
5-2019;231;R$ 743,38
5-2019;235;R$ 6.224,91
5-2019;238;R$ 2.371,65
5-2019;252;R$ 315,39
5-2019;256;R$ 297,19
5-2019;257;R$ 2.406,99
5-2019;258;R$ 398,33
5-2019;260;R$ 4.251,92
5-2019;265;R$ 23,29
5-2019;272;R$ 141,90
5-2019;276;R$ 795,73
5-2019;278;R$ 2.107,59
5-2019;279;R$ 1.418,48
5-2019;280;R$ 860,78
5-2019;282;R$ 817,89
5-2019;283;R$ 2.168,73
5-2019;290;R$ 2.333,67
5-2019;291;R$ 3.182,70
5-2019;292;R$ 5.858,60
5-2019;304;R$ 130,24
5-2019;305;R$ 1.181,88
5-2019;318;R$ 16.292,43
5-2019;320;R$ 3.313,04
5-2019;321;R$ 2.960,66
5-2019;333;R$ 216,84
5-2019;334;R$ 1.664,89
5-2019;345;R$ 53,86
5-2019;370;R$ 4.329,53
5-2019;378;R$ 659,54
5-2019;379;R$ 802,73
5-2019;384;R$ 172,12
5-2019;386;R$ 171,81
5-2019;438;R$ 3.831,93
5-2019;439;R$ 285,89
5-2019;440;R$ 2.020,47
5-2019;442;R$ 1.528,16
5-2019;462;R$ 174,30
5-2019;467;R$ 435,13
5-2019;468;R$ 268,17
5-2019;469;R$ 393,75
5-2019;473;R$ 23,47
5-2019;476;R$ 283,04
5-2019;477;R$ 26,05
5-2019;481;R$ 129,88
5-2019;483;R$ 85,43
5-2019;487;R$ 499,03
5-2019;492;R$ 2.412,23
5-2019;513;R$ 2.536,52
5-2019;514;R$ 446,71
5-2019;527;R$ 2.981,14
5-2019;548;R$ 2.351,35
5-2019;559;R$ 1.242,54
5-2019;581;R$ 1.699,50
5-2019;660;R$ 275,61
5-2019;661;R$ 4.528,21
5-2019;662;R$ 38.664,88
5-2019;665;R$ 357,39
5-2019;668;R$ 7.554,81
5-2019;691;R$ 4.181,13
5-2019;692;R$ 7.860,87
5-2019;693;R$ 2.098,23
5-2019;694;R$ 2.097,94
5-2019;695;R$ 437,82
5-2019;696;R$ 465,49
5-2019;702;R$ 962,19
5-2019;703;R$ 335,22
5-2019;741;R$ 268,78
5-2019;771;R$ 611,80
5-2019;811;R$ 48,35
5-2019;824;R$ 299,00
5-2019;825;R$ 905,40
5-2019;829;R$ 353,59
5-2019;830;R$ 300,42
5-2019;835;R$ 925,16
5-2019;838;R$ 4.857,97
5-2019;839;R$ 10.057,02
5-2019;845;R$ 29.748,42
5-2019;876;R$ 1.219,58
5-2019;877;R$ 40,18
5-2019;878;R$ 1.738,27
5-2019;886;R$ 2.042,72
5-2019;935;R$ 2.768,05
5-2019;965;R$ 499,85
5-2019;1019;R$ 1.604,68
5-2019;1048;R$ 2.204,73
5-2019;1049;R$ 1.305,01
5-2019;1057;R$ 970,20
5-2019;1073;R$ 420,43
5-2019;1074;R$ 608,68
5-2019;1082;R$ 964,52
5-2019;1085;R$ 273,15
5-2019;1086;R$ 1.113,27
5-2019;1131;R$ 721,86
5-2019;1132;R$ 4.111,25
5-2019;1133;R$ 4.755,03
5-2019;1135;R$ 4.351,80
5-2019;1139;R$ 14,13
5-2019;1150;R$ 2.516,70
5-2019;1151;R$ 946,25
5-2019;1152;R$ 367,67
5-2019;1154;R$ 6.034,91
5-2019;1155;R$ 883,40
5-2019;1166;R$ 732,13
5-2019;1179;R$ 351,15
5-2019;1204;R$ 453,22
5-2019;1205;R$ 3.519,72
